imageUrl;title;description;wikipediaLink
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Prinzen.jpg;Willem Prinzen;Dutch politician (1847-1919);https://nl.wikipedia.org/wiki/Willem_Prinzen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Petrus%20Jacobus%20Franciscus%20Vermeulen.jpg;Petrus Jacobus Franciscus Vermeulen;Dutch politician (1846-1913);https://nl.wikipedia.org/wiki/Petrus_Jacobus_Franciscus_Vermeulen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Petrus%20Franciscus%20Fruytier.jpg;Petrus Franciscus Fruytier;Dutch politician;https://nl.wikipedia.org/wiki/Petrus_Franciscus_Fruytier
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Antoine%20Arts%20%28cropped%29.jpg;Antoine Arts;Dutch journalist and politician (1845–1926);https://nl.wikipedia.org/wiki/Antoine_Arts
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Alexander%20de%20Savornin%20Lohman%20%28cropped%29.jpg;Alexander de Savornin Lohman;Dutch politician (1837-1924);https://nl.wikipedia.org/wiki/Alexander_de_Savornin_Lohman
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Pieter%20Rink.jpg;Pieter Rink;Dutch politician (1851–1941);https://nl.wikipedia.org/wiki/Pieter_Rink
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Willem%20Hubert%20Nolens.jpg;Willem Hubert Nolens;Dutch politician (1860–1931);https://nl.wikipedia.org/wiki/Wiel_Nolens
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281909%29%20-%20Pieter%20Jelles%20Troelstra.jpg;Pieter Jelles Troelstra;Dutch politician (1860-1930);https://nl.wikipedia.org/wiki/Pieter_Jelles_Troelstra
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Alphonsus%20Maria%20Josephus%20Ernestus%20Antonius%20van%20Lamsweerde.jpg;Alphonsus Maria Josephus Ernestus Antonius van Lamsweerde;Dutch politician (1853–1919);https://nl.wikipedia.org/wiki/Alphonsus_Maria_Josephus_Ernestus_Antonius_van_Lamsweerde
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Anthony%20Brummelkamp%20jr..jpg;Anthony Brummelkamp jr.;Dutch journalist and politician (1839–1919);https://nl.wikipedia.org/wiki/Anthony_Brummelkamp_(1839-1919)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Antoine%20Arts.jpg;Antoine Arts;Dutch journalist and politician (1845–1926);https://nl.wikipedia.org/wiki/Antoine_Arts
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Albertus%20Nicolaas%20Fleskens.jpg;Albertus Nicolaas Fleskens;Dutch politician (1874-1965);https://nl.wikipedia.org/wiki/Albertus_Nicolaas_Fleskens
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20afgevaardigden%20%281913%29%20-%20Asser%20Benjamin%20Kleerekoper.jpg;Asser Benjamin Kleerekoper;Dutch politician (1880-1943);https://nl.wikipedia.org/wiki/Asser_Benjamin_Kleerekoper
