Date;Full institution name;Commons category;Commons category URL;Category depth;Total images available;Distinct images used;Image reuse percentage;Distinct articles;Number of languages;Total usages;Average image reuse;HTML URL;Excel URL
04-09-2024;Discovery Museum Kerkrade;Industrion;https://commons.wikimedia.org/wiki/Category:Industrion;0;33;12;36,36;26;16;30;2,50;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Industrion_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Industrion_Wikipedia_NS0_04092024.xlsx
04-09-2024;Collectie Overijssel;Images from Historisch Centrum Overijssel;https://commons.wikimedia.org/wiki/Category:Images_from_Historisch_Centrum_Overijssel;0;24;12;50,00;23;7;23;1,92;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromHistorischCentrumOverijssel_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromHistorischCentrumOverijssel_Wikipedia_NS0_04092024.xlsx
04-09-2024;NEMO;NEMO;https://commons.wikimedia.org/wiki/Category:NEMO;1;457;9;1,97;20;15;28;3,11;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/NEMO_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/NEMO_Wikipedia_NS0_04092024.xlsx
04-09-2024;Missiemuseum Steyl;Missiemuseum Steyl;https://commons.wikimedia.org/wiki/Category:Missiemuseum_Steyl;3;106;21;19,81;16;8;37;1,76;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MissiemuseumSteyl_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MissiemuseumSteyl_Wikipedia_NS0_04092024.xlsx
04-09-2024;ZB Bibliotheek van Zeeland;Zeeuwse Bibliotheek;https://commons.wikimedia.org/wiki/Category:Zeeuwse_Bibliotheek;0;22;11;50,00;16;10;22;2,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ZeeuwseBibliotheek_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ZeeuwseBibliotheek_Wikipedia_NS0_04092024.xlsx
04-09-2024;IHLIA LGBTI Heritage;IHLIA LGBTI Heritage Archive Amsterdam;https://commons.wikimedia.org/wiki/Category:IHLIA_LGBTI_Heritage_Archive_Amsterdam;1;51;11;21,57;15;7;22;2,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/IHLIALGBTIHeritageArchiveAmsterdam_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/IHLIALGBTIHeritageArchiveAmsterdam_Wikipedia_NS0_04092024.xlsx
04-09-2024;Musiom, museum voor hedendaagse kunst;Musiom;https://commons.wikimedia.org/wiki/Category:Musiom;0;41;33;80,49;15;1;35;1,06;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Musiom_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Musiom_Wikipedia_NS0_04092024.xlsx
04-09-2024;Streekarchief Midden-Holland;Streekarchief Midden-Holland;https://commons.wikimedia.org/wiki/Category:Streekarchief_Midden-Holland;0;37;14;37,84;13;1;15;1,07;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/StreekarchiefMidden-Holland_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/StreekarchiefMidden-Holland_Wikipedia_NS0_04092024.xlsx
04-09-2024;Museum Vliegbasis Deelen;Deelen Air Base;https://commons.wikimedia.org/wiki/Category:Deelen_Air_Base;2;187;12;6,42;12;5;21;1,75;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/DeelenAirBase_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/DeelenAirBase_Wikipedia_NS0_04092024.xlsx
04-09-2024;Tresoar Leeuwarden;Images from Tresoar Leeuwarden;https://commons.wikimedia.org/wiki/Category:Images_from_Tresoar_Leeuwarden;0;53;5;9,43;12;8;12;2,40;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromTresoarLeeuwarden_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromTresoarLeeuwarden_Wikipedia_NS0_04092024.xlsx
04-09-2024;Street Art Museum Amsterdam;Street Art Museum Amsterdam;https://commons.wikimedia.org/wiki/Category:Street_Art_Museum_Amsterdam;0;19;2;10,53;10;6;10;5,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/StreetArtMuseumAmsterdam_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/StreetArtMuseumAmsterdam_Wikipedia_NS0_04092024.xlsx
04-09-2024;Regionaal Archief Tilburg;Media from Regionaal Archief Tilburg;https://commons.wikimedia.org/wiki/Category:Media_from_Regionaal_Archief_Tilburg;1;40;5;12,50;8;4;8;1,60;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MediafromRegionaalArchiefTilburg_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MediafromRegionaalArchiefTilburg_Wikipedia_NS0_04092024.xlsx
04-09-2024;Wereldmuseum Berg en Dal;Collection of Wereldmuseum Berg en Dal;https://commons.wikimedia.org/wiki/Category:Collection of Wereldmuseum Berg en Dal;0;29;7;24,14;8;8;36;5,14;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/CollectionofWereldmuseumBergenDal_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/CollectionofWereldmuseumBergenDal_Wikipedia_NS0_04092024.xlsx
04-09-2024;Museum Het Bolwerk;Het Bolwerk;https://commons.wikimedia.org/wiki/Category:Het_Bolwerk;0;40;5;12,50;7;5;10;2,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/HetBolwerk_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/HetBolwerk_Wikipedia_NS0_04092024.xlsx
04-09-2024;Nationaal Holocaustmuseum;Nationaal Holocaust Museum;https://commons.wikimedia.org/wiki/Category:Nationaal_Holocaust_Museum;1;31;2;6,45;7;5;7;3,50;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/NationaalHolocaustMuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/NationaalHolocaustMuseum_Wikipedia_NS0_04092024.xlsx
04-09-2024;Museum 't Oude Slot;Hemelrijken 14, Veldhoven;https://commons.wikimedia.org/wiki/Category:Hemelrijken_14,_Veldhoven;0;4;1;25,00;7;5;7;7,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/Hemelrijken14,Veldhoven_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/Hemelrijken14,Veldhoven_Wikipedia_NS0_04092024.xlsx
04-09-2024;Keramiekcentrum Tiendschuur Tegelen;Keramiekcentrum Tiendschuur Tegelen;https://commons.wikimedia.org/wiki/Category:Keramiekcentrum_Tiendschuur_Tegelen;0;12;3;25,00;6;2;7;2,33;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/KeramiekcentrumTiendschuurTegelen_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/KeramiekcentrumTiendschuurTegelen_Wikipedia_NS0_04092024.xlsx
04-09-2024;Stichting Hinsz-orgel Roden;Organ of Catharinakerk, Roden;https://commons.wikimedia.org/wiki/Category:Organ_of_Catharinakerk,_Roden;0;21;1;4,76;5;4;5;5,00;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/OrganofCatharinakerk,Roden_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/OrganofCatharinakerk,Roden_Wikipedia_NS0_04092024.xlsx
04-09-2024;Erfgoedcentrum Achterhoek en Liemers;Media from Erfgoedcentrum Achterhoek en Liemers;https://commons.wikimedia.org/wiki/Category:Media_from_Erfgoedcentrum_Achterhoek_en_Liemers;0;19;4;21,05;5;2;5;1,25;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MediafromErfgoedcentrumAchterhoekenLiemers_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MediafromErfgoedcentrumAchterhoekenLiemers_Wikipedia_NS0_04092024.xlsx
04-09-2024;Sociaal Historisch Centrum voor Limburg;Sociaal Historisch Centrum voor Limburg;https://commons.wikimedia.org/wiki/Category:Sociaal_Historisch_Centrum_voor_Limburg;2;103;5;4,85;4;2;6;1,20;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/SociaalHistorischCentrumvoorLimburg_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/SociaalHistorischCentrumvoorLimburg_Wikipedia_NS0_04092024.xlsx
04-09-2024;Landhuis Oud Amelisweerd;Museum Oud Amelisweerd;https://commons.wikimedia.org/wiki/Category:Museum_Oud_Amelisweerd;0;6;6;100,00;4;2;8;1,33;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MuseumOudAmelisweerd_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MuseumOudAmelisweerd_Wikipedia_NS0_04092024.xlsx
